Temps(s)	sigV(MPa)	Defcapt	Defax	Defrad	Defvol	Deplctcapt(m)
9.078343E+2	1.888676E+1	4.982990E-3	4.715721E-3	8.661994E-4	6.448120E-3	1.989210E+2
9.090452E+2	1.863716E+1	4.971240E-3	4.703906E-3	8.670924E-4	6.438091E-3	1.984519E+2
9.102552E+2	1.839093E+1	4.959592E-3	4.692091E-3	8.680541E-4	6.428199E-3	1.979869E+2
9.114651E+2	1.812730E+1	4.946761E-3	4.679246E-3	8.694280E-4	6.418102E-3	1.974747E+2
9.126751E+2	1.788531E+1	4.934550E-3	4.667637E-3	8.699775E-4	6.407592E-3	1.969872E+2
9.138850E+2	1.762090E+1	4.921308E-3	4.654311E-3	8.716948E-4	6.397701E-3	1.964586E+2
9.150960E+2	1.741031E+1	4.909970E-3	4.643458E-3	8.723129E-4	6.388084E-3	1.960060E+2
9.163059E+2	1.715389E+1	4.896853E-3	4.629925E-3	8.731372E-4	6.376200E-3	1.954824E+2
9.175159E+2	1.695399E+1	4.885887E-3	4.619072E-3	8.738241E-4	6.366720E-3	1.950446E+2
9.187259E+2	1.670867E+1	4.873203E-3	4.606708E-3	8.747171E-4	6.356142E-3	1.945382E+2
9.199358E+2	1.647703E+1	4.861046E-3	4.594962E-3	8.750606E-4	6.345083E-3	1.940530E+2
9.211458E+2	1.623312E+1	4.848643E-3	4.581911E-3	8.766405E-4	6.335192E-3	1.935578E+2
9.223557E+2	1.600432E+1	4.836456E-3	4.569615E-3	8.774648E-4	6.324545E-3	1.930713E+2
9.235667E+2	1.578190E+1	4.823779E-3	4.557113E-3	8.777396E-4	6.312592E-3	1.925652E+2
9.247776E+2	1.554572E+1	4.811247E-3	4.544199E-3	8.785638E-4	6.301327E-3	1.920650E+2
9.259876E+2	1.535325E+1	4.800112E-3	4.532659E-3	8.793194E-4	6.291298E-3	1.916205E+2
9.271985E+2	1.510627E+1	4.786913E-3	4.519745E-3	8.805559E-4	6.280857E-3	1.910936E+2
9.284104E+2	1.491394E+1	4.775810E-3	4.508412E-3	8.815176E-4	6.271447E-3	1.906503E+2
